"","ADM_scale","NAME","city_name","institution","institution_type","announcement_date","start_date","end_date","intervention_type","public_health_mobilization","Source_URL","gathering_size","notes","access_date","who_by","last_checked"
"312","ADM2","Fannin",NA,NA,NA,NA,2020-03-16,"2020-04-01","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"313","ADM2","Fannin",NA,NA,NA,NA,NA,NA,"prohibit_business",NA,NA,NA,NA,NA,NA,NA
"314","ADM2","Fannin",NA,NA,NA,NA,NA,NA,"gathering_size_limited",NA,NA,NA,NA,NA,NA,NA
"315","ADM2","Fannin",NA,NA,NA,NA,NA,NA,"shelter_in_place",NA,NA,NA,NA,NA,NA,NA
"316","ADM2","Fayette",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,NA,NA,NA,NA,NA,NA
"317","ADM2","Fayette",NA,NA,NA,NA,2020-03-13,"2020-04-01","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"318","ADM2","Fayette",NA,NA,NA,NA,NA,NA,"prohibit_business",NA,NA,NA,NA,NA,NA,NA
"319","ADM2","Fayette",NA,NA,NA,NA,NA,NA,"gathering_size_limited",NA,NA,NA,NA,NA,NA,NA
"320","ADM2","Fayette",NA,NA,NA,NA,NA,NA,"shelter_in_place",NA,NA,NA,NA,NA,NA,NA
"321","ADM2","Floyd",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,NA,NA,NA,NA,NA,NA
"322","ADM2","Floyd",NA,NA,NA,NA,2020-03-11,"2020-04-01","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"323","ADM2","Floyd",NA,NA,NA,NA,NA,NA,"prohibit_business",NA,NA,NA,NA,NA,NA,NA
"324","ADM2","Floyd",NA,NA,NA,NA,NA,NA,"gathering_size_limited",NA,NA,NA,NA,NA,NA,NA
"325","ADM2","Floyd",NA,"County Commissioners","Government","2020-03-24",2020-03-24,NA,"shelter_in_place",NA,"https://coosavalleynews.com/2020/03/floyd-county-commissioners-issue-stricter-shelter-in-place-order/",NA,NA,"2020-03-25","DMO","2020-03-25"
"326","ADM3","Floyd","Rome","Rome City Commissioner","Government","2020-03-23",2020-03-24,"2020-04-07","shelter_in_place",NA,"https://www.northwestgeorgianews.com/rome/news/local/rome-city-commission-orders-residents-to-shelter-in-place-floyd/article_3a78af22-6d22-11ea-be6b-ff21d636c416.html",NA,NA,"2020-03-25","DMO","2020-03-25"
"327","ADM2","Forsyth",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,NA,NA,NA,NA,NA,NA
"328","ADM2","Forsyth",NA,NA,NA,NA,2020-03-16,"2020-04-01","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"329","ADM2","Forsyth",NA,NA,NA,NA,NA,NA,"prohibit_business",NA,"https://www.forsythnews.com/news/government/forsyth-county-cumming-announce-further-restrictions-extend-closures-park-facilities/",NA,NA,"2020-03-23","DMO","2020-03-23"
"330","ADM2","Forsyth",NA,NA,NA,NA,NA,NA,"gathering_size_limited",NA,"https://www.forsythnews.com/news/government/forsyth-county-cumming-announce-further-restrictions-extend-closures-park-facilities/",NA,NA,"2020-03-23","DMO","2020-03-23"
"331","ADM2","Forsyth",NA,NA,NA,NA,NA,NA,"shelter_in_place",NA,"https://www.forsythnews.com/news/government/forsyth-county-cumming-announce-further-restrictions-extend-closures-park-facilities/",NA,NA,"2020-03-23","DMO","2020-03-23"
"332","ADM2","Franklin",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,"https://www.forsythnews.com/news/government/forsyth-county-cumming-announce-further-restrictions-extend-closures-park-facilities/",NA,NA,"2020-03-23","DMO","2020-03-23"
"333","ADM2","Franklin",NA,NA,NA,NA,2020-03-16,"2020-04-01","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"334","ADM2","Franklin",NA,NA,NA,NA,NA,NA,"prohibit_business",NA,NA,NA,NA,NA,NA,NA
"335","ADM2","Franklin",NA,NA,NA,NA,NA,NA,"gathering_size_limited",NA,NA,NA,NA,NA,NA,NA
"336","ADM2","Franklin",NA,NA,NA,NA,NA,NA,"shelter_in_place",NA,NA,NA,NA,NA,NA,NA
"337","ADM2","Fulton",NA,"Fulton County Board of Commissioners","government","2020-03-16",2020-03-17,NA,"close_public_spaces",NA,"https://www.fultoncountyga.gov/news/2020/03/17/updates-on-fulton-county-facility-closures-and-service-changes",NA,NA,"2020-03-23","ARW","2020-03-23"
"338","ADM2","Fulton",NA,"Fulton County Board of Commissioners","government","2020-03-13",2020-03-16,NA,"close_public_spaces",NA,"https://www.fultoncountyga.gov/news/2020/03/17/updates-on-fulton-county-facility-closures-and-service-changes",NA,NA,"2020-03-23","ARW","2020-03-23"
"339","ADM2","Fulton",NA,"Fulton County Board of Commissioners","government","2020-03-16",NA,NA,"first",NA,"https://www.fultoncountyga.gov/news/covid-19-update-chairman-robb-pitts",NA,NA,"2020-03-23","ARW","2020-03-23"
"340","ADM2","Fulton",NA,"Fulton County Schools","government","2020-03-12",2020-03-16,"2020-03-20","no_contact_school",NA,"https://www.fultonschools.org/coronavirus",NA,NA,"2020-03-23","ARW","2020-03-23"
"341","ADM2","Fulton",NA,"Fulton County Schools","government","2020-03-17",NA,"2020-03-31",NA,NA,"https://www.fultonschools.org/coronavirus",NA,NA,"2020-03-23","ARW","2020-03-23"
"342","ADM2","Fulton",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,NA,NA,NA,NA,NA,NA
"343","ADM2","Fulton",NA,NA,NA,NA,NA,NA,"prohibit_business",NA,NA,NA,NA,NA,NA,NA
"344","ADM2","Fulton",NA,NA,NA,NA,NA,NA,"gathering_size_limited",NA,NA,NA,NA,NA,NA,NA
"345","ADM3","Fulton","Atlanta","City of Atlanta","Government","2020-03-23",2020-03-24,"2020-04-07","shelter_in_place",NA,NA,NA,NA,NA,NA,NA
"346","ADM3","Fulton","Sandy Springs","Sandy Springs",NA,NA,NA,NA,"shelter_in_place",NA,NA,NA,NA,NA,NA,NA
"347","ADM3","Fulton","Brookhaven","Brookhaven",NA,NA,NA,NA,"shelter_in_place",NA,NA,NA,NA,NA,NA,NA
"348","ADM2","Fulton",NA,NA,NA,NA,NA,NA,"shelter_in_place",NA,NA,NA,NA,NA,NA,NA
"349","ADM2","Gilmer",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,NA,NA,NA,NA,NA,NA
"350","ADM2","Gilmer",NA,NA,NA,NA,2020-03-16,"2020-04-01","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"351","ADM2","Gilmer",NA,NA,NA,NA,NA,NA,"prohibit_business",NA,NA,NA,NA,NA,NA,NA
"352","ADM2","Gilmer",NA,NA,NA,NA,NA,NA,"gathering_size_limited",NA,NA,NA,NA,NA,NA,NA
"353","ADM2","Gilmer",NA,NA,NA,NA,NA,NA,"shelter_in_place",NA,NA,NA,NA,NA,NA,NA
"354","ADM2","Glascock",NA,"Department of Public Health","Government",NA,NA,NA,"state_of_emergency",NA,"https://ecphd.com/newsevents/",NA,NA,NA,NA,NA
"355","ADM2","Glascock",NA,"Department of Public Health","Government",NA,NA,NA,"prohibit_business",NA,"https://ecphd.com/newsevents/",NA,NA,NA,NA,NA
"356","ADM2","Glascock",NA,"Department of Public Health","Government",NA,NA,NA,"gathering_size_limited",NA,"https://ecphd.com/newsevents/",NA,NA,NA,NA,NA
"357","ADM2","Glascock",NA,"Department of Public Health","Government",NA,NA,NA,"shelter_in_place",NA,"https://ecphd.com/newsevents/",NA,NA,NA,NA,NA
"358","ADM2","Glascock",NA,NA,"Government",NA,2020-03-16,"2020-04-01","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"359","ADM2","Glynn",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,NA,NA,NA,NA,NA,NA
"360","ADM2","Glynn",NA,NA,NA,NA,2020-03-17,"2020-04-13","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"361","ADM2","Glynn",NA,NA,NA,NA,NA,NA,"prohibit_business",NA,NA,NA,NA,NA,NA,NA
"362","ADM2","Glynn",NA,NA,NA,NA,NA,NA,"gathering_size_limited",NA,NA,NA,NA,NA,NA,NA
"363","ADM2","Glynn",NA,NA,NA,NA,NA,NA,"shelter_in_place",NA,NA,NA,NA,NA,NA,NA
"364","ADM2","Gordon",NA,"Gordon County Schools","government","2020-02-28",NA,NA,"first",NA,"https://www.gcbe.org/site/Default.aspx?PageID=10022",NA,NA,"2020-03-23","ARW","2020-03-23"
"365","ADM2","Gordon",NA,"Gordon County Schools","government","2020-03-13",2020-03-16,"2020-03-27","no_contact_school",NA,"https://www.gcbe.org/site/Default.aspx?PageID=10022",NA,NA,"2020-03-23","ARW","2020-03-23"
"366","ADM2","Gordon",NA,"Gordon County Schools","government","2020-03-18",NA,"2020-04-10","no_contact_school",NA,"https://www.gcbe.org/site/Default.aspx?PageID=10022",NA,NA,"2020-03-23","ARW","2020-03-23"
"367","ADM2","Gordon",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,NA,NA,NA,NA,NA,NA
"368","ADM2","Gordon",NA,NA,NA,NA,NA,NA,"prohibit_business",NA,NA,NA,NA,NA,NA,NA
"369","ADM2","Gordon",NA,NA,NA,NA,NA,NA,"gathering_size_limited",NA,NA,NA,NA,NA,NA,NA
"370","ADM2","Gordon",NA,NA,NA,NA,NA,NA,"shelter_in_place",NA,NA,NA,NA,NA,NA,NA
"371","ADM2","Grady",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,NA,NA,NA,NA,NA,NA
"372","ADM2","Grady",NA,NA,NA,NA,2020-03-16,"2020-04-01","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"373","ADM2","Grady",NA,NA,NA,NA,NA,NA,"prohibit_business",NA,NA,NA,NA,NA,NA,NA
"374","ADM2","Grady",NA,NA,NA,NA,NA,NA,"gathering_size_limited",NA,NA,NA,NA,NA,NA,NA
"375","ADM2","Grady",NA,NA,NA,NA,NA,NA,"shelter_in_place",NA,NA,NA,NA,NA,NA,NA
"376","ADM2","Greene",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,NA,NA,NA,NA,NA,NA
"377","ADM2","Greene",NA,NA,NA,NA,2020-03-16,"2020-04-06","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"378","ADM2","Greene",NA,NA,NA,NA,NA,NA,"prohibit_business",NA,NA,NA,NA,NA,NA,NA
"379","ADM2","Greene",NA,NA,NA,NA,NA,NA,"gathering_size_limited",NA,NA,NA,NA,NA,NA,NA
"380","ADM2","Greene",NA,NA,NA,NA,NA,NA,"shelter_in_place",NA,NA,NA,NA,NA,NA,NA
"381","ADM2","Gwinnett",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,NA,NA,NA,NA,NA,NA
"382","ADM2","Gwinnett",NA,NA,NA,NA,2020-03-16,"2020-04-01","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"383","ADM2","Gwinnett",NA,NA,NA,NA,NA,NA,"prohibit_business",NA,NA,NA,NA,NA,NA,NA
"384","ADM2","Gwinnett",NA,NA,NA,NA,NA,NA,"gathering_size_limited",NA,NA,NA,NA,NA,NA,NA
"385","ADM2","Gwinnett",NA,NA,NA,NA,NA,NA,"shelter_in_place",NA,NA,NA,NA,NA,NA,NA
"386","ADM2","Habersham",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,NA,NA,NA,NA,NA,NA
"387","ADM2","Habersham",NA,NA,NA,NA,2020-03-16,"2020-04-01","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"388","ADM2","Habersham",NA,NA,NA,NA,NA,NA,"prohibit_business",NA,NA,NA,NA,NA,NA,NA
"389","ADM2","Habersham",NA,NA,NA,NA,NA,NA,"gathering_size_limited",NA,NA,NA,NA,NA,NA,NA
"390","ADM2","Habersham",NA,NA,NA,NA,NA,NA,"shelter_in_place",NA,NA,NA,NA,NA,NA,NA
"391","ADM2","Hall",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,NA,NA,NA,NA,NA,NA
"392","ADM2","Hall",NA,NA,NA,NA,2020-03-16,"2020-04-01","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"393","ADM2","Hall",NA,NA,NA,NA,NA,NA,"prohibit_business",NA,NA,NA,NA,NA,NA,NA
"394","ADM2","Hall",NA,NA,NA,NA,NA,NA,"gathering_size_limited",NA,NA,NA,NA,NA,NA,NA
"395","ADM2","Hall",NA,NA,NA,NA,NA,NA,"shelter_in_place",NA,NA,NA,NA,NA,NA,NA
"396","ADM2","Hancock",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,NA,NA,NA,NA,NA,NA
"397","ADM2","Hancock",NA,NA,NA,NA,2020-03-16,"2020-04-01","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"398","ADM2","Hancock",NA,NA,NA,NA,NA,NA,"prohibit_business",NA,NA,NA,NA,NA,NA,NA
"399","ADM2","Hancock",NA,NA,NA,NA,NA,NA,"gathering_size_limited",NA,NA,NA,NA,NA,NA,NA
"400","ADM2","Hancock",NA,NA,NA,NA,NA,NA,"shelter_in_place",NA,NA,NA,NA,NA,NA,NA
"401","ADM2","Haralson",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,NA,NA,NA,NA,NA,NA
"402","ADM2","Haralson",NA,NA,NA,NA,2020-03-17,"2020-04-01","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"403","ADM2","Haralson",NA,NA,NA,NA,NA,NA,"prohibit_business",NA,NA,NA,NA,NA,NA,NA
"404","ADM2","Haralson",NA,NA,NA,NA,NA,NA,"gathering_size_limited",NA,NA,NA,NA,NA,NA,NA
"405","ADM2","Haralson",NA,NA,NA,NA,NA,NA,"shelter_in_place",NA,NA,NA,NA,NA,NA,NA
"406","ADM2","Harris",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,NA,NA,NA,NA,NA,NA
"407","ADM2","Harris",NA,NA,NA,NA,2020-03-16,"2020-04-06","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"408","ADM2","Harris",NA,NA,NA,NA,NA,NA,"prohibit_business",NA,NA,NA,NA,NA,NA,NA
"409","ADM2","Harris",NA,NA,NA,NA,NA,NA,"gathering_size_limited",NA,NA,NA,NA,NA,NA,NA
"410","ADM2","Harris",NA,NA,NA,NA,NA,NA,"shelter_in_place",NA,NA,NA,NA,NA,NA,NA
"411","ADM2","Hart",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,NA,NA,NA,NA,NA,NA
"412","ADM2","Hart",NA,NA,NA,NA,2020-03-16,"2020-04-01","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"413","ADM2","Hart",NA,NA,NA,NA,NA,NA,"prohibit_business",NA,NA,NA,NA,NA,NA,NA
"414","ADM2","Hart",NA,NA,NA,NA,NA,NA,"gathering_size_limited",NA,NA,NA,NA,NA,NA,NA
"415","ADM2","Hart",NA,NA,NA,NA,NA,NA,"shelter_in_place",NA,NA,NA,NA,NA,NA,NA
"416","ADM2","Heard",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,NA,NA,NA,NA,NA,NA
"417","ADM2","Heard",NA,NA,NA,NA,2020-03-16,"2020-04-01","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"418","ADM2","Heard",NA,NA,NA,NA,NA,NA,"prohibit_business",NA,NA,NA,NA,NA,NA,NA
"419","ADM2","Heard",NA,NA,NA,NA,NA,NA,"gathering_size_limited",NA,NA,NA,NA,NA,NA,NA
"420","ADM2","Heard",NA,NA,NA,NA,NA,NA,"shelter_in_place",NA,NA,NA,NA,NA,NA,NA
"421","ADM2","Henry",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,NA,NA,NA,NA,NA,NA
"422","ADM2","Henry",NA,NA,NA,NA,2020-03-16,"2020-04-01","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"423","ADM2","Henry",NA,NA,NA,NA,NA,NA,"prohibit_business",NA,NA,NA,NA,NA,NA,NA
"424","ADM2","Henry",NA,NA,NA,NA,NA,NA,"gathering_size_limited",NA,NA,NA,NA,NA,NA,NA
"425","ADM2","Henry",NA,NA,NA,NA,NA,NA,"shelter_in_place",NA,NA,NA,NA,NA,NA,NA
"426","ADM2","Houston",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,NA,NA,NA,NA,NA,NA
"427","ADM2","Houston",NA,NA,NA,NA,2020-03-16,"2020-04-01","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"428","ADM2","Houston",NA,NA,NA,NA,NA,NA,"prohibit_business",NA,NA,NA,NA,NA,NA,NA
"429","ADM2","Houston",NA,NA,NA,NA,NA,NA,"gathering_size_limited",NA,NA,NA,NA,NA,NA,NA
"430","ADM2","Houston",NA,NA,NA,NA,NA,NA,"shelter_in_place",NA,NA,NA,NA,NA,NA,NA
"431","ADM2","Irwin",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,NA,NA,NA,NA,NA,NA
"432","ADM2","Irwin",NA,NA,NA,NA,2020-03-16,"2020-04-01","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"433","ADM2","Irwin",NA,NA,NA,NA,NA,NA,"prohibit_business",NA,NA,NA,NA,NA,NA,NA
"434","ADM2","Irwin",NA,NA,NA,NA,NA,NA,"gathering_size_limited",NA,NA,NA,NA,NA,NA,NA
"435","ADM2","Irwin",NA,NA,NA,NA,NA,NA,"shelter_in_place",NA,NA,NA,NA,NA,NA,NA
"436","ADM2","Jackson",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,NA,NA,NA,NA,NA,NA
"437","ADM2","Jackson",NA,NA,NA,NA,2020-03-16,"2020-04-01","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"438","ADM2","Jackson",NA,NA,NA,NA,NA,NA,"shelter_in_place",NA,NA,NA,NA,NA,NA,NA
"439","ADM2","Jackson",NA,NA,NA,NA,NA,NA,"prohibit_business",NA,NA,NA,NA,NA,NA,NA
"440","ADM2","Jackson",NA,NA,NA,NA,NA,NA,"gathering_size_limited",NA,NA,NA,NA,NA,NA,NA
"441","ADM2","Jasper",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,NA,NA,NA,NA,NA,NA
"442","ADM2","Jasper",NA,NA,NA,NA,2020-03-17,"2020-04-01","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"443","ADM2","Jasper",NA,NA,NA,NA,NA,NA,"shelter_in_place",NA,NA,NA,NA,NA,NA,NA
"444","ADM2","Jasper",NA,NA,NA,NA,NA,NA,"prohibit_business",NA,NA,NA,NA,NA,NA,NA
"445","ADM2","Jasper",NA,NA,NA,NA,NA,NA,"gathering_size_limited",NA,NA,NA,NA,NA,NA,NA
"446","ADM2","Jeff Davis",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,NA,NA,NA,NA,NA,NA
"447","ADM2","Jeff Davis",NA,NA,NA,NA,2020-03-16,"2020-03-31","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"448","ADM2","Jeff Davis",NA,NA,NA,NA,NA,NA,"shelter_in_place",NA,NA,NA,NA,NA,NA,NA
"449","ADM2","Jeff Davis",NA,NA,NA,NA,NA,NA,"prohibit_business",NA,NA,NA,NA,NA,NA,NA
"450","ADM2","Jeff Davis",NA,NA,NA,NA,NA,NA,"gathering_size_limited",NA,NA,NA,NA,NA,NA,NA
"451","ADM2","Jefferson",NA,NA,"Government",NA,NA,NA,"shelter_in_place",NA,"https://ecphd.com/newsevents/",NA,NA,NA,NA,NA
"452","ADM2","Jefferson",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,"https://ecphd.com/newsevents/",NA,NA,NA,NA,NA
"453","ADM2","Jefferson",NA,NA,"Government",NA,NA,NA,"prohibit_business",NA,"https://ecphd.com/newsevents/",NA,NA,NA,NA,NA
"454","ADM2","Jefferson",NA,NA,"Government",NA,NA,NA,"gathering_size_limited",NA,"https://ecphd.com/newsevents/",NA,NA,NA,NA,NA
"455","ADM2","Jefferson","Jefferson City","Jefferson City School","Government",NA,2020-03-16,"2020-04-06","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"456","ADM2","Jefferson","Louisville City","Louisville City School","Government",NA,2020-03-18,"2020-04-13","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"457","ADM2","Jenkins",NA,NA,"Government",NA,NA,NA,"shelter_in_place",NA,"https://ecphd.com/newsevents/",NA,NA,NA,NA,NA
"458","ADM2","Jenkins",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,"https://ecphd.com/newsevents/",NA,NA,NA,NA,NA
"459","ADM2","Jenkins",NA,NA,"Government",NA,NA,NA,"no_contact_school",NA,"https://ecphd.com/newsevents/",NA,NA,NA,NA,NA
"460","ADM2","Jenkins",NA,NA,"Government",NA,NA,NA,"gathering_size_limited",NA,"https://ecphd.com/newsevents/",NA,NA,NA,NA,NA
"461","ADM2","Jenkins",NA,NA,"Government",NA,2020-03-17,"2020-04-01","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"462","ADM2","Johnson",NA,NA,"Government",NA,NA,NA,"shelter_in_place",NA,"http://southcentralhealth.info",NA,NA,NA,NA,NA
"463","ADM2","Johnson",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,"http://southcentralhealth.info",NA,NA,NA,NA,NA
"464","ADM2","Johnson",NA,NA,"Government",NA,NA,NA,"prohibit_business",NA,"http://southcentralhealth.info",NA,NA,NA,NA,NA
"465","ADM2","Johnson",NA,NA,"Government",NA,NA,NA,"gathering_size_limited",NA,"http://southcentralhealth.info",NA,NA,NA,NA,NA
"466","ADM2","Johnson",NA,NA,"Government",NA,2020-03-17,"2020-04-13","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"467","ADM2","Jones",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,NA,NA,NA,NA,NA,NA
"468","ADM2","Jones",NA,NA,NA,NA,2020-03-16,"2020-04-01","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"469","ADM2","Jones",NA,NA,NA,NA,NA,NA,"prohibit_business",NA,NA,NA,NA,NA,NA,NA
"470","ADM2","Jones",NA,NA,NA,NA,NA,NA,"gathering_size_limited",NA,NA,NA,NA,NA,NA,NA
"471","ADM2","Jones",NA,NA,NA,NA,NA,NA,"shelter_in_place",NA,NA,NA,NA,NA,NA,NA
"472","ADM2","Lamar",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,NA,NA,NA,NA,NA,NA
"473","ADM2","Lamar",NA,NA,NA,NA,2020-03-16,"2020-04-01","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"474","ADM2","Lamar",NA,NA,NA,NA,NA,NA,"prohibit_business",NA,NA,NA,NA,NA,NA,NA
"475","ADM2","Lamar",NA,NA,NA,NA,NA,NA,"gathering_size_limited",NA,NA,NA,NA,NA,NA,NA
"476","ADM2","Lamar",NA,NA,NA,NA,NA,NA,"shelter_in_place",NA,NA,NA,NA,NA,NA,NA
"477","ADM2","Lanier",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,NA,NA,NA,NA,NA,NA
"478","ADM2","Lanier",NA,NA,NA,NA,2020-03-16,"2020-04-01","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"479","ADM2","Lanier",NA,NA,NA,NA,NA,NA,"prohibit_business",NA,NA,NA,NA,NA,NA,NA
"480","ADM2","Lanier",NA,NA,NA,NA,NA,NA,"gathering_size_limited",NA,NA,NA,NA,NA,NA,NA
"481","ADM2","Lanier",NA,NA,NA,NA,NA,NA,"shelter_in_place",NA,NA,NA,NA,NA,NA,NA
"482","ADM2","Laurens",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,"http://southcentralhealth.info",NA,NA,NA,NA,NA
"483","ADM2","Laurens",NA,NA,"Government",NA,NA,NA,"prohibit_business",NA,"http://southcentralhealth.info",NA,NA,NA,NA,NA
"484","ADM2","Laurens",NA,NA,"Government",NA,NA,NA,"gathering_size_limited",NA,"http://southcentralhealth.info",NA,NA,NA,NA,NA
"485","ADM2","Laurens",NA,NA,"Government",NA,NA,NA,"shelter_in_place",NA,"http://southcentralhealth.info",NA,NA,NA,NA,NA
"486","ADM2","Laurens",NA,NA,NA,NA,2020-03-17,"2020-04-01","no_contact_school",NA,"https://www.wtoc.com/2020/03/13/tattnall-county-schools-close-weeks-beginning-monday-march/",NA,NA,"2020-03-23","ARW","2020-03-23"
"487","ADM2","Lee",NA,NA,"Government",NA,NA,NA,"state_of_emergency",NA,NA,NA,NA,NA,NA,NA
